BIC;Name;Service SCT;Service SDD;Service COR1;Service B2B;Service SCC
ATRUIE21   ;ATHENRY CREDIT UNION LIMITED                                                                                                                ;1;1;0;0;0
ATTIGRAA   ;ATTICA BANK                                                                                                                                 ;1;1;0;1;0
AUDFDE21   ;AUDI BANK ZWEIGNIEDERLASSUNG DER VOLKSWAGEN BANK GMBH                                                                                       ;1;1;0;1;1
AUDIFRPP   ;BANK AUDI FRANCE                                                                                                                            ;1;1;0;0;0
AUGBDE77   ;AUGSBURGER AKTIENBANK AG                                                                                                                    ;1;1;0;1;1
AUGSDE77   ;STADTSPARKASSE AUGSBURG                                                                                                                     ;1;1;0;1;1
AUSKDEFF   ;AKA AUSFUHRKREDIT-GESELLSCHAFT MBH                                                                                                          ;1;1;0;0;0
AUSNNO21   ;AURSKOG SPAREBANK                                                                                                                           ;1;0;0;0;0
AUSPNO21   ;AURLAND SPAREBANK                                                                                                                           ;1;0;0;0;0
AUTOATW1   ;AUTOBANK AG                                                                                                                                 ;1;1;0;1;0
AUZDDEM1   ;AUTOBANK AG-ZWEIGNIEDERLASSUNG DEUTSCHLAND                                                                                                  ;1;1;0;0;0
AVOSAT21   ;VOLKSBANK ALMTAL E. GEN.                                                                                                                    ;1;1;0;1;0
AXABBE22   ;AXA BANK EUROPE (FORMERLY AXA BANK BELGIUM)                                                                                                 ;1;1;0;1;0
AXABDE31   ;AXA BANK AG                                                                                                                                 ;1;1;0;1;0
AXABFRPP   ;AXA BANQUE SA                                                                                                                               ;1;1;0;0;0
AYCUIE21   ;AYRFIELD CREDIT UNION LIMITED                                                                                                               ;1;0;0;0;0
AZZBITT1   ;BANCO DI CREDITO P. AZZOAGLIO - S.P.A.                                                                                                      ;1;1;0;1;0
BAAADK21   ;TOTALBANKEN A/S                                                                                                                             ;1;1;0;1;0
BABEDEFF   ;BANK OF BEIRUT (UK) LTD FRANKFURT BRANCH                                                                                                    ;1;1;0;1;0
BACAESMM   ;ANDBANK ESPANA S.A.                                                                                                                         ;1;1;0;0;0
BACALULL   ;ANDBANK LUXEMBOURG S.A.                                                                                                                     ;1;0;0;0;0
BACAMCMC   ;ANDBANC MONACO SAM                                                                                                                          ;1;1;0;0;0
BACECH22   ;BANCA DEL CERESIO SA                                                                                                                        ;1;0;0;0;0
BACRIT21   ;CREDITO EMILIANO S.P.A.                                                                                                                     ;1;1;0;1;0
BACRIT22   ;CREDITO EMILIANO S.P.A.                                                                                                                     ;1;1;0;1;0
BACXCZPP   ;UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S.                                                                                            ;1;1;0;1;0
BACXHUHB   ;UNICREDIT BANK HUNGARY ZRT.                                                                                                                 ;1;1;0;1;0
BACXROBU   ;UNICREDIT TIRIAC BANK SA                                                                                                                    ;1;1;0;1;0
BACXSI22   ;UNICREDIT BANKA SLOVENIJA D.D.                                                                                                              ;1;1;0;1;0
BAECIT2B   ;UNIPOL BANCA SPA                                                                                                                            ;1;1;0;1;0
BAECIT21   ;UNIPOL BANCA                                                                                                                                ;1;1;0;1;0
